,Symbols,Vol,Avg
0,1DIV,19000,29180.0
1,BSET100,42400,230120.0
2,ENY,20900,2380.0
3,3K-BAT,200,140.0
4,ABICO,98200,111560.0
5,ABM,988700,1449740.0
6,ACC,32230700,40154200.0
7,AF,158700,4233800.0
8,AHC,83100,43540.0
9,AIMCG,703600,832720.0
10,AIT,206000,157920.0
11,AKP,6730700,3235580.0
12,AKR,25709300,86095420.0
13,ALUCON,400,1820.0
14,AMA,798700,3166280.0
15,AMANAH,30132000,6472820.0
16,AMARIN,889800,112120.0
17,AMC,2546900,1070240.0
18,APCO,2074200,270920.0
19,APP,2927900,1257420.0
20,AQ,413339200,89425160.0
21,ARROW,546500,112380.0
22,ASEFA,270000,276680.0
23,ASK,10607200,793160.0
24,ATP30,8968000,1142920.0
25,AUCT,2183400,2479520.0
26,B-WORK,690600,442060.0
27,B52,48281900,34982540.0
28,BAFS,506000,766880.0
29,BCPG,3993600,5315540.0
30,BCT,250800,71000.0
31,BFIT,4179800,3786560.0
32,BIG,19460700,27846720.0
33,BJCHI,9753300,8828120.0
34,BKI,58000,82800.0
35,BLA,2651700,5078660.0
36,BLAND,25908600,37673160.0
37,BR,4315200,2675340.0
38,BRR,835800,2328300.0
39,BRRGIF,72200,69400.0
40,BSM,19105800,34147460.0
41,CGD,127504000,61778320.0
42,CHAYO,21495900,23849000.0
43,CHEWA,32085700,23991600.0
44,CI,6331100,9182460.0
45,CITY,284700,335560.0
46,CMC,9392300,14849360.0
47,CPH,11300,16980.0
48,CPL,939100,2062120.0
49,CPNCG,343400,737400.0
50,CPT,1825300,2948840.0
51,CPTGF,85900,405420.0
52,CRD,3398100,9048140.0
53,CSC,3500,8260.0
54,CSR,200,0.0
55,CSS,37962900,5752780.0
56,CTARAF,3300,58020.0
57,CTW,109800,181060.0
58,CWT,7824500,11964740.0
59,DHOUSE,1898300,2509180.0
60,DIF,10099000,14112220.0
61,DOHOME,4381900,4469420.0
62,EA,8446100,20779520.0
63,EE,79639800,17720320.0
64,EGCO,1590600,2745820.0
65,EKH,2550800,8770060.0
66,EPG,12693300,14034560.0
67,ERW,12071500,13500960.0
68,ETE,2670400,2246260.0
69,FSMART,11857300,9485080.0
70,FVC,33148200,9746580.0
71,GEL,18195900,49772480.0
72,GFPT,3276400,4059160.0
73,GIFT,2668500,933820.0
74,GOLDPF,7600,17200.0
75,GPI,749300,1018880.0
76,GUNKUL,202044500,290347300.0
77,HREIT,520200,355440.0
78,HUMAN,783200,1172020.0
79,IFS,863100,500500.0
80,IIG,379900,195520.0
81,ILINK,3360000,3322600.0
82,ILM,720700,902860.0
83,IND,1628400,3154460.0
84,INGRS,127861100,18347800.0
85,INSET,21570000,22123220.0
86,IP,1283500,958560.0
87,IRC,23100,36740.0
88,J,8213600,5936300.0
89,JAS,687369000,72096860.0
90,JASIF,12447500,10113780.0
91,JCT,2000,1560.0
92,JTS,8107500,322100.0
93,JUTHA,660100,6521720.0
94,KAMART,1797100,3190100.0
95,KBS,822800,990100.0
96,KCE,9212100,17381620.0
97,KCM,10424500,52714780.0
98,KISS,11366700,11633600.0
99,KSL,19369900,33384600.0
100,KTIS,145000,207240.0
101,KUMWEL,2991400,1455200.0
102,KWG,4687300,3260500.0
103,KYE,11300,5180.0
104,LEO,3937900,5696720.0
105,LHHOTEL,232700,344420.0
106,LHPF,250100,92200.0
107,LRH,9200,7820.0
108,LST,536100,248620.0
109,M-CHAI,500,1740.0
110,MACO,110280400,86486700.0
111,MBK,3974200,5121960.0
112,MC,2850200,2058060.0
113,MDX,3095100,4538660.0
114,MFC,157600,289080.0
115,MIDA,125421700,73433360.0
116,MK,51500,71640.0
117,MONO,10746800,9889880.0
118,MORE,40581600,22001380.0
119,MVP,26276000,18164640.0
120,NBC,11878700,14192000.0
121,NC,400,140.0
122,NCH,8699700,13751160.0
123,NCL,30707500,31557360.0
124,NEWS,417934500,357366360.0
125,NFC,8000,11560.0
126,NVD,1219500,665960.0
127,OR,21653500,61284340.0
128,PAF,15077400,4051360.0
129,PB,5300,5160.0
130,PDI,3558500,398060.0
131,PF,156615600,60945840.0
132,PICO,4100,32180.0
133,PJW,5510400,6618920.0
134,PLANET,1151200,4969560.0
135,PLAT,1646300,1874820.0
136,POPF,158300,98860.0
137,PPF,10800,3360.0
138,PPP,211800,275620.0
139,PPPM,9113100,2825000.0
140,PR9,315300,640240.0
141,PROUD,129100,339820.0
142,PSL,24127200,14055580.0
143,PSTC,93620500,34103320.0
144,PTTGC,12094200,18384300.0
145,Q-CON,278200,348940.0
146,QLT,54000,63280.0
147,RAM,22500,35480.0
148,ROCK,100,40.0
149,ROH,2600,280.0
150,RPH,267800,427220.0
151,RSP,4139700,695580.0
152,S11,1465600,2040660.0
153,SABUY,10400300,8789960.0
154,SAK,8795200,7410180.0
155,SAUCE,12100,16900.0
156,SAWAD,6991900,10380000.0
157,SBPF,103600,17160.0
158,SCB,3974400,8299260.0
159,SCN,6772600,12181200.0
160,SDC,5733300,34108580.0
161,SEAOIL,15930800,8856880.0
162,SELIC,1924400,2524660.0
163,SF,17371200,5467320.0
164,SGF,19857500,21210540.0
165,SGP,18921300,2682900.0
166,SHR,12381800,18993800.0
167,SHREIT,300,21260.0
168,SINGER,2672100,2077060.0
169,SIRI,237670400,1059859360.0
170,SISB,1286500,1483240.0
171,SITHAI,48887900,27905920.0
172,SLP,6338900,2179000.0
173,SMK,19800,7600.0
174,SMT,40848200,10851420.0
175,SNC,483100,519340.0
176,SNP,1098900,98780.0
177,SO,6430200,639480.0
178,SORKON,359200,687420.0
179,SPACK,599400,808700.0
180,SPC,10000,6120.0
181,SPCG,4081300,5086020.0
182,SPRIME,52100,97100.0
183,SPVI,2175400,2075620.0
184,SR,4070200,553400.0
185,SRICHA,2466600,1510340.0
186,STA,16652300,16247320.0
187,STAR,142300,160680.0
188,STC,949200,6527520.0
189,SUC,75500,29660.0
190,SUN,5001200,18199080.0
191,SUPER,282739000,685475960.0
192,SVOA,14438100,24045160.0
193,TAKUNI,22238100,41886260.0
194,TASCO,5290900,5670320.0
195,TC,890800,739400.0
196,TCC,71813600,6554720.0
197,TCJ,904800,2829340.0
198,TCMC,5857300,13500580.0
199,TFI,6203200,6672620.0
200,THANA,192200,213940.0
201,THANI,109390300,27584080.0
202,THMUI,789100,5607120.0
203,THREL,1667500,4820140.0
204,TIP,1679800,1544440.0
205,TIPCO,10432200,1042900.0
206,TISCO,3375800,3157240.0
207,TKT,1491600,595000.0
208,TLHPF,61000,12800.0
209,TM,2919500,7986980.0
210,TMD,13000,6880.0
211,TMILL,886100,413980.0
212,TNH,18300,12520.0
213,TNITY,436400,2741800.0
214,TNPF,8000,6420.0
215,TNR,87600,47840.0
216,TPA,31900,148640.0
217,TPCORP,10900,5020.0
218,TPOLY,36455700,2034060.0
219,TR,10200,93940.0
220,TRITN,116345300,84463460.0
221,TRUE,121482600,66033460.0
222,TSTE,22600,12060.0
223,TTA,22662100,37559780.0
224,UBIS,151000,467140.0
225,UKEM,72283100,24189620.0
226,UMS,4155400,275900.0
227,UP,4200,6720.0
228,UPA,343933900,33419800.0
229,UREKA,35335700,1581200.0
230,UVAN,537100,489240.0
231,UWC,698848900,193311000.0
232,VCOM,1405900,3298000.0
233,VIH,331000,1078960.0
234,VRANDA,463100,276060.0
235,WHABT,27100,29540.0
236,WIN,39187000,6704680.0
237,WP,367700,337560.0
238,WPH,307500,304920.0
239,XO,3143300,2478540.0
